Fecha;Temperatura;Humedad_rel;WH2;WH3;WH4;WH5;WH6;WH7;FH1;Consumo
03/01/2009 20:00;278,8922421;0,952893612;0;0;0;0;1;0;0;3767
03/01/2009 21:00;278,8307991;0,946664872;0;0;0;0;1;0;0;3699
03/01/2009 22:00;278,6293787;0,942247126;0;0;0;0;1;0;0;3949
03/01/2009 23:00;278,3761332;0,936025106;0;0;0;0;1;0;0;3652
04/01/2009 0:00;277,8444979;0,928603698;0;0;0;0;0;1;0;2755
04/01/2009 1:00;277,1991193;0,9288;0;0;0;0;0;1;0;2537
04/01/2009 2:00;276,5109515;0,927980146;0;0;0;0;0;1;0;2454
04/01/2009 3:00;276,4242158;0,925118204;0;0;0;0;0;1;0;2309
04/01/2009 4:00;276,1764663;0,927570615;0;0;0;0;0;1;0;2121
04/01/2009 5:00;275,845867;0,928940286;0;0;0;0;0;1;0;1844
04/01/2009 6:00;275,5251702;0,923632091;0;0;0;0;0;1;0;2076
04/01/2009 7:00;274,8664198;0,913982937;0;0;0;0;0;1;0;2234
04/01/2009 8:00;274,7780122;0,885905203;0;0;0;0;0;1;0;3260
04/01/2009 9:00;274,7857162;0,876292254;0;0;0;0;0;1;0;3908
04/01/2009 10:00;275,1904076;0,861211826;0;0;0;0;0;1;0;3750
04/01/2009 11:00;276,1959464;0,830539892;0;0;0;0;0;1;0;3336
04/01/2009 12:00;277,3150534;0,793812066;0;0;0;0;0;1;0;3152
04/01/2009 13:00;278,1646224;0,759851412;0;0;0;0;0;1;0;3460
04/01/2009 14:00;278,7695061;0,737553792;0;0;0;0;0;1;0;3507
04/01/2009 15:00;279,0444014;0,734834835;0;0;0;0;0;1;0;3009
04/01/2009 16:00;278,9606369;0,749329493;0;0;0;0;0;1;0;2990
04/01/2009 17:00;278,3339087;0,760957344;0;0;0;0;0;1;0;3165
04/01/2009 18:00;277,4248386;0,795247382;0;0;0;0;0;1;0;3051
04/01/2009 19:00;276,7787016;0,834015327;0;0;0;0;0;1;0;2940
04/01/2009 20:00;276,3297113;0,808854994;0;0;0;0;0;1;0;3041
04/01/2009 21:00;275,9887912;0,803368062;0;0;0;0;0;1;0;3381
04/01/2009 22:00;275,7752403;0,792778932;0;0;0;0;0;1;0;3436
04/01/2009 23:00;275,6756656;0,784674212;0;0;0;0;0;1;0;3189
05/01/2009 0:00;275,6104754;0,799634846;0;0;0;0;0;0;0;3463
05/01/2009 1:00;275,4390868;0,801534065;0;0;0;0;0;0;0;3097
05/01/2009 2:00;275,2068745;0,775031948;0;0;0;0;0;0;0;3102
05/01/2009 3:00;274,9563095;0,823453378;0;0;0;0;0;0;0;3156
05/01/2009 4:00;274,8558085;0,819121839;0;0;0;0;0;0;0;3094
05/01/2009 5:00;274,8430422;0,799744756;0;0;0;0;0;0;0;2860
05/01/2009 6:00;274,7772768;0,784547014;0;0;0;0;0;0;0;2637
05/01/2009 7:00;274,621151;0,773348891;0;0;0;0;0;0;0;2765
05/01/2009 8:00;274,7918995;0,768304382;0;0;0;0;0;0;0;3625
05/01/2009 9:00;275,0999892;0,775116844;0;0;0;0;0;0;0;4066
05/01/2009 10:00;275,4866355;0,77944266;0;0;0;0;0;0;0;4260
05/01/2009 11:00;276,3552643;0,775209165;0;0;0;0;0;0;0;4420
05/01/2009 12:00;277,3550517;0,774313733;0;0;0;0;0;0;0;4919
05/01/2009 13:00;278,1882348;0,773466205;0;0;0;0;0;0;0;4853
05/01/2009 14:00;278,9597536;0,76574007;0;0;0;0;0;0;0;4606
05/01/2009 15:00;279,3378647;0,759059735;0;0;0;0;0;0;0;4010
05/01/2009 16:00;279,2099761;0,768308107;0;0;0;0;0;0;0;3946
05/01/2009 17:00;278,7075082;0,794060973;0;0;0;0;0;0;0;4122
05/01/2009 18:00;278,1372615;0,819626362;0;0;0;0;0;0;0;4469
05/01/2009 19:00;277,7141179;0,834116514;0;0;0;0;0;0;0;4701
05/01/2009 20:00;277,4134884;0,842691922;0;0;0;0;0;0;0;4564
05/01/2009 21:00;277,2087955;0,857203463;0;0;0;0;0;0;0;4218
05/01/2009 22:00;277,0434255;0,869787308;0;0;0;0;0;0;0;3798
05/01/2009 23:00;276,9449818;0,876026941;0;0;0;0;0;0;0;3846
06/01/2009 0:00;276,892247;0,881133172;1;0;0;0;0;0;1;2693
06/01/2009 1:00;276,8516835;0,877935018;1;0;0;0;0;0;1;2616
06/01/2009 2:00;276,8364852;0,868373577;1;0;0;0;0;0;1;2835
06/01/2009 3:00;276,6518525;0,864145151;1;0;0;0;0;0;1;2300
06/01/2009 4:00;276,4157499;0,864456015;1;0;0;0;0;0;1;2165
06/01/2009 5:00;276,224693;0,86092481;1;0;0;0;0;0;1;2063
06/01/2009 6:00;275,9233969;0,866061167;1;0;0;0;0;0;1;1760
